weight,peel color,flesh color,texture,size,name
165,74,56,28,89,mango
197,27,49,12,93,mango
165,40,64,12,104,mango
198,89,63,17,166,mango
182,76,47,15,152,mango
166,79,51,21,151,mango
151,25,35,24,85,mango
159,67,44,27,73,mango
183,80,50,16,108,mango
179,81,42,17,118,mango
181,52,45,21,115,mango
142,23,51,13,63,mango
169,38,61,18,61,mango
143,73,52,11,76,mango
157,22,40,29,143,mango
158,63,38,22,88,mango
168,27,48,11,96,mango
180,50,53,20,90,mango
149,46,62,11,162,mango
185,66,63,21,60,mango
194,67,51,29,102,mango
178,83,42,19,76,mango
152,20,64,18,145,mango
177,84,45,23,178,mango
193,73,38,22,167,mango
167,22,35,16,175,mango
175,37,55,28,176,mango
143,34,36,12,154,mango
162,25,46,28,149,mango
166,24,47,22,75,mango
143,81,50,28,154,mango
181,27,64,23,92,mango
155,85,62,20,161,mango
140,83,44,16,148,mango
198,65,48,13,84,mango
172,21,58,20,146,mango
171,82,47,12,175,mango
189,44,49,22,63,mango
185,22,45,18,94,mango
185,74,44,24,152,mango
141,24,40,24,173,mango
154,61,51,27,82,mango
160,54,52,11,103,mango
159,61,46,17,122,mango
197,23,63,18,66,mango
196,47,38,22,82,mango
187,32,53,16,107,mango
170,43,47,22,104,mango
197,68,43,17,60,mango
145,86,35,22,89,mango
151,83,57,15,70,mango
190,45,41,28,80,mango
176,58,57,13,74,mango
176,73,37,24,156,mango
198,54,64,13,158,mango
176,28,64,12,136,mango
199,73,48,25,157,mango
175,76,48,12,74,mango
166,69,39,23,121,mango
190,70,37,15,169,mango
199,61,57,17,66,mango
193,73,62,12,105,mango
188,22,61,21,101,mango
149,25,52,21,127,mango
181,36,55,21,136,mango
159,86,45,13,152,mango
149,25,62,18,134,mango
144,21,42,17,150,mango
147,66,50,17,155,mango
147,32,54,23,111,mango
180,58,60,28,160,mango
168,66,43,26,146,mango
165,71,50,22,134,mango
146,66,40,24,65,mango
190,36,64,22,68,mango
149,43,35,14,166,mango
192,87,52,19,161,mango
195,46,38,20,148,mango
180,49,47,27,150,mango
194,89,56,12,160,mango
174,50,61,26,83,mango
145,77,53,22,125,mango
193,27,52,17,104,mango
160,67,40,12,71,mango
183,29,59,14,130,mango
142,30,64,21,68,mango
188,39,39,27,108,mango
148,36,60,14,91,mango
193,42,46,18,157,mango
173,56,39,27,101,mango
198,48,49,17,177,mango
148,43,62,11,177,mango
156,59,56,18,156,mango
189,27,49,19,113,mango
199,22,46,25,66,mango
165,20,48,19,61,mango
188,71,35,22,146,mango
142,42,38,12,138,mango
181,76,48,29,142,mango
147,82,42,13,118,mango
147,57,48,24,169,mango
173,80,53,27,174,mango
185,82,47,29,142,mango
151,45,44,29,128,mango
171,83,60,12,63,mango
168,42,38,20,162,mango
180,41,53,21,75,mango
177,61,58,14,69,mango
154,75,59,18,153,mango
152,45,53,18,137,mango
182,30,37,21,70,mango
180,28,64,12,105,mango
161,45,42,20,86,mango
191,33,60,28,146,mango
142,33,59,23,100,mango
197,53,54,18,127,mango
176,62,59,26,128,mango
149,75,39,10,62,mango
181,69,43,25,113,mango
193,66,37,25,120,mango
184,61,58,21,150,mango
173,50,60,13,153,mango
142,71,38,28,97,mango
142,46,36,23,70,mango
195,32,58,16,134,mango
178,34,50,26,179,mango
158,23,42,15,78,mango
193,23,63,27,118,mango
155,52,47,13,168,mango
148,77,46,17,60,mango
198,63,47,28,161,mango
155,26,39,24,96,mango
174,29,39,26,167,mango
197,49,53,12,88,mango
189,86,47,14,66,mango
168,32,59,10,118,mango
182,69,54,17,79,mango
142,50,37,23,136,mango
160,76,36,15,166,mango
161,39,39,10,90,mango
197,64,51,17,62,mango
198,89,43,13,70,mango
172,34,48,29,131,mango
171,65,39,28,137,mango
167,79,63,12,151,mango
160,31,47,21,127,mango
144,50,50,18,147,mango
141,41,55,17,62,mango
184,28,56,29,89,mango
189,34,55,16,63,mango
178,79,53,17,87,mango
171,48,36,10,119,mango
178,79,57,20,138,mango
167,28,46,11,179,mango
181,46,63,27,173,mango
162,49,42,23,69,mango
187,55,56,21,124,mango
182,55,41,22,114,mango
153,83,54,19,157,mango
143,79,36,13,137,mango
143,21,58,15,75,mango
195,56,38,28,153,mango
173,85,41,27,123,mango
168,60,62,25,77,mango
187,44,51,12,112,mango
150,48,35,21,70,mango
146,37,58,15,100,mango
170,26,53,29,106,mango
163,75,57,18,153,mango
195,63,57,17,96,mango
170,75,60,11,88,mango
171,36,53,11,66,mango
163,49,47,14,110,mango
195,84,35,23,105,mango
157,28,61,15,85,mango
145,68,35,29,129,mango
159,84,62,29,99,mango
187,83,37,14,70,mango
175,38,46,11,159,mango
154,57,60,19,67,mango
151,77,63,21,152,mango
158,77,58,14,117,mango
148,86,39,26,99,mango
157,72,40,23,173,mango
173,36,46,13,109,mango
182,63,52,16,86,mango
191,47,38,17,137,mango
169,46,54,10,124,mango
173,40,44,26,63,mango
140,50,61,28,107,mango
188,21,64,18,135,mango
180,51,47,15,73,mango
174,79,58,13,77,mango
166,57,44,10,102,mango
171,64,54,11,160,mango
176,36,55,24,157,mango
144,21,56,16,147,mango
168,49,47,22,92,mango
191,67,56,23,75,mango
195,46,39,17,179,mango
140,23,64,18,137,mango
167,68,40,28,117,mango
143,33,63,20,96,mango
195,83,44,23,89,mango
188,35,38,11,127,mango
181,20,50,29,112,mango
158,72,61,27,66,mango
146,33,45,16,136,mango
162,82,57,27,166,mango
189,38,36,27,177,mango
164,83,54,13,160,mango
144,74,35,23,86,mango
199,65,49,18,106,mango
163,28,35,16,134,mango
193,72,42,21,162,mango
164,26,37,10,119,mango
156,57,50,16,149,mango
171,47,61,11,95,mango
162,20,61,14,131,mango
193,49,62,13,162,mango
150,52,58,22,177,mango
194,43,49,20,168,mango
147,30,51,20,64,mango
167,22,54,20,118,mango
199,31,58,13,109,mango
182,50,42,19,177,mango
172,63,41,21,160,mango
170,84,63,22,158,mango
143,47,35,26,137,mango
155,70,39,17,94,mango
144,66,55,22,72,mango
190,76,42,13,123,mango
186,82,35,17,84,mango
149,70,49,14,153,mango
181,32,40,28,165,mango
177,41,40,10,111,mango
195,77,51,22,85,mango
193,82,57,14,89,mango
172,42,47,14,179,mango
169,70,53,22,132,mango
180,72,50,17,117,mango
161,22,45,16,152,mango
197,74,36,24,76,mango
160,86,44,25,71,mango
189,41,44,11,64,mango
159,60,58,25,97,mango
195,42,50,19,157,mango
159,71,38,28,121,mango
190,65,46,19,81,mango
185,77,40,17,109,mango
144,59,37,26,71,mango
163,74,49,21,163,mango
174,68,35,28,157,mango
197,77,48,28,94,mango
176,23,43,11,109,mango
197,37,44,20,68,mango
161,40,63,21,172,mango
190,56,40,26,141,mango
175,67,53,19,65,mango
197,48,60,10,166,mango
146,88,50,22,139,mango
143,81,43,28,146,mango
167,77,39,29,87,mango
169,87,55,19,135,mango
182,46,52,12,66,mango
168,39,52,12,172,mango
188,23,41,17,150,mango
183,84,54,15,85,mango
163,55,53,17,164,mango
143,42,44,20,110,mango
183,52,37,26,148,mango
166,67,64,21,175,mango
150,32,55,16,117,mango
192,44,36,25,69,mango
183,76,43,12,83,mango
187,60,36,27,68,mango
167,72,47,15,88,mango
151,29,62,10,127,mango
188,44,40,15,174,mango
184,45,40,12,127,mango
148,28,37,18,116,mango
156,24,53,21,112,mango
141,59,41,18,86,mango
164,76,36,20,84,mango
158,33,39,24,120,mango
147,55,48,21,121,mango
150,62,35,19,138,mango
181,34,64,29,65,mango
167,85,43,11,145,mango
185,74,43,10,84,mango
144,27,61,27,140,mango
152,24,42,13,103,mango
179,28,52,15,171,mango
192,60,48,15,126,mango
167,75,42,11,148,mango
141,80,47,18,148,mango
185,63,59,21,169,mango
143,52,46,11,164,mango
146,24,43,26,159,mango
164,33,49,16,156,mango
150,78,64,13,141,mango
164,30,61,19,136,mango
173,25,42,22,91,mango
182,55,45,14,86,mango
157,23,48,20,162,mango
164,81,41,17,155,mango
167,89,62,17,169,mango
199,48,35,21,77,mango
159,48,58,11,169,mango
199,50,46,20,136,mango
198,35,50,24,96,mango
160,80,60,23,70,mango
189,59,42,27,171,mango
177,39,60,11,116,mango
167,36,50,25,69,mango
190,38,54,13,64,mango
179,32,41,23,75,mango
178,75,53,28,112,mango
167,44,43,25,174,mango
172,89,51,17,166,mango
183,70,58,22,126,mango
147,20,57,14,156,mango
165,80,58,12,117,mango
168,30,62,10,90,mango
180,44,52,11,86,mango
159,89,40,13,157,mango
176,46,37,13,81,mango
171,88,39,19,80,mango
162,40,40,10,161,mango
142,87,56,28,143,mango
169,35,50,26,94,mango
185,60,52,29,127,mango
186,35,35,13,99,mango
179,75,62,27,159,mango
180,38,55,16,77,mango
198,20,42,17,138,mango
143,70,59,14,165,mango
161,84,36,20,135,mango
154,23,62,13,122,mango
146,25,46,10,161,mango
189,69,58,28,159,mango
172,70,46,25,99,mango
186,43,49,18,67,mango
192,86,51,24,170,mango
195,57,35,10,167,mango
165,63,46,23,140,mango
160,59,36,20,64,mango
151,83,45,16,75,mango
150,49,60,19,163,mango
179,43,40,14,142,mango
182,49,64,24,138,mango
143,66,41,18,132,mango
146,81,48,20,78,mango
173,30,50,14,139,mango
163,29,43,18,102,mango
183,72,51,23,109,mango
198,30,63,18,91,mango
144,49,55,10,167,mango
173,48,58,27,133,mango
197,58,38,29,142,mango
163,67,46,21,70,mango
152,88,60,14,161,mango
148,25,36,29,175,mango
170,23,45,25,123,mango
182,37,51,12,150,mango
194,88,53,27,95,mango
195,27,41,17,139,mango
177,84,50,12,108,mango
151,76,44,14,142,mango
199,68,52,17,101,mango
198,87,40,19,170,mango
156,85,61,24,142,mango
169,54,61,17,74,mango
168,89,40,14,90,mango
165,23,42,18,70,mango
186,84,52,14,152,mango
159,23,43,10,147,mango
159,29,50,24,72,mango
145,23,40,20,150,mango
193,64,48,15,66,mango
197,65,51,24,105,mango
185,41,40,15,103,mango
191,64,63,20,65,mango
143,81,35,12,134,mango
142,45,52,15,94,mango
170,32,54,20,63,mango
183,85,36,17,167,mango
140,52,48,21,80,mango
199,67,54,20,172,mango
144,21,38,13,176,mango
188,25,44,28,119,mango
193,70,59,25,103,mango
154,81,41,18,73,mango
188,58,60,27,125,mango
141,62,40,26,177,mango
197,79,53,20,71,mango
185,53,55,17,90,mango
180,27,62,14,87,mango
147,43,39,25,167,mango
197,46,52,15,70,mango
145,29,54,26,165,mango
179,74,46,26,84,mango
142,32,61,19,135,mango
166,42,47,13,149,mango
162,67,59,22,78,mango
166,61,40,23,131,mango
174,73,44,15,118,mango
168,20,54,19,101,mango
157,75,53,23,120,mango
195,46,43,16,132,mango
191,67,41,17,122,mango
156,20,62,14,105,mango
197,62,52,28,71,mango
152,22,36,12,136,mango
162,56,59,19,146,mango
144,50,64,19,102,mango
181,77,52,12,105,mango
170,76,62,24,133,mango
153,67,36,16,124,mango
179,85,38,13,75,mango
174,78,36,15,64,mango
145,57,42,28,142,mango
195,31,47,11,104,mango
189,49,39,20,81,mango
153,56,45,15,123,mango
180,37,39,11,176,mango
172,46,35,11,160,mango
182,32,39,22,154,mango
190,51,54,16,86,mango
197,48,48,16,66,mango
162,80,53,27,170,mango
196,25,49,17,175,mango
191,55,54,13,177,mango
178,77,46,14,107,mango
143,28,64,23,104,mango
198,80,52,18,127,mango
198,24,55,20,139,mango
190,89,48,14,63,mango
181,35,39,12,76,mango
186,63,47,28,67,mango
146,83,51,18,174,mango
144,78,39,22,141,mango
193,35,48,10,71,mango
192,54,62,13,179,mango
186,34,62,16,149,mango
178,81,63,28,87,mango
186,36,36,23,75,mango
175,22,63,15,88,mango
199,68,61,25,160,mango
170,21,48,13,102,mango
196,47,64,14,92,mango
152,86,55,23,79,mango
194,67,52,12,123,mango
143,29,41,19,176,mango
143,52,41,21,108,mango
152,84,60,29,134,mango
193,45,47,27,117,mango
167,34,42,19,92,mango
177,84,42,19,171,mango
191,61,64,12,76,mango
183,76,58,14,176,mango
179,55,40,14,119,mango
183,74,57,11,134,mango
177,68,61,11,151,mango
168,70,46,11,94,mango
186,43,53,23,80,mango
152,33,46,23,103,mango
190,25,50,27,179,mango
152,35,36,28,171,mango
176,41,49,23,118,mango
168,40,51,16,147,mango
146,74,42,11,127,mango
194,56,43,16,67,mango
171,88,37,20,150,mango
150,22,54,13,70,mango
146,26,43,13,69,mango
159,59,48,20,126,mango
141,33,39,19,118,mango
150,35,49,24,107,mango
161,44,54,18,174,mango
160,21,56,17,121,mango
147,42,44,21,79,mango
182,71,41,25,64,mango
185,22,45,29,61,mango
194,28,48,25,120,mango
152,51,53,16,61,mango
160,74,46,20,115,mango
172,86,63,22,165,mango
161,50,41,23,101,mango
159,80,51,27,156,mango
154,85,60,11,120,mango
196,68,48,18,85,mango
157,69,53,24,135,mango
177,70,52,15,105,mango
153,41,60,16,151,mango
167,86,50,27,74,mango
141,24,55,23,123,mango
196,47,59,21,142,mango
192,44,40,13,62,mango
143,59,55,20,164,mango
170,49,52,27,122,mango
161,26,48,27,159,mango
191,40,48,16,131,mango
191,44,59,27,158,mango
145,88,64,24,67,mango
142,66,38,27,74,mango
146,73,51,20,90,mango
179,44,51,20,89,mango
140,29,35,19,170,mango
168,65,37,10,79,mango
155,22,43,19,65,mango
165,33,50,21,132,mango
148,48,39,26,72,mango
192,86,55,28,142,mango
190,46,56,16,92,mango
182,86,42,15,151,mango
147,60,40,12,141,mango
198,48,55,28,144,mango
180,48,43,16,73,mango
175,72,55,22,62,mango
189,60,35,28,63,orange
205,61,44,28,62,orange
206,63,54,48,95,orange
195,60,45,33,76,orange
189,34,43,26,80,orange
189,26,24,43,62,orange
165,75,52,46,62,orange
184,67,26,35,97,orange
168,85,42,43,97,orange
195,61,31,26,76,orange
204,80,40,34,62,orange
212,63,32,35,62,orange
165,59,32,33,76,orange
171,89,47,39,95,orange
200,72,31,39,65,orange
211,51,53,39,75,orange
188,38,33,43,93,orange
171,75,31,45,82,orange
193,61,47,35,88,orange
199,87,32,30,62,orange
211,45,27,34,95,orange
207,47,30,48,87,orange
167,82,53,21,69,orange
214,69,37,25,62,orange
184,30,43,26,73,orange
201,81,24,48,71,orange
180,70,50,46,73,orange
200,59,26,38,89,orange
169,47,47,34,92,orange
203,66,27,46,99,orange
217,49,39,29,76,orange
199,60,50,30,97,orange
172,81,33,33,84,orange
160,87,26,44,72,orange
169,89,25,22,79,orange
193,24,42,36,88,orange
205,32,47,38,85,orange
219,48,38,28,93,orange
173,51,41,46,70,orange
182,75,36,44,96,orange
201,80,51,29,77,orange
171,74,33,33,69,orange
208,59,26,39,97,orange
205,69,53,28,64,orange
184,44,44,27,76,orange
171,42,43,24,84,orange
197,64,26,35,87,orange
188,79,34,32,68,orange
166,41,47,28,95,orange
192,58,32,48,62,orange
197,24,24,37,80,orange
194,60,38,44,78,orange
204,59,24,33,65,orange
196,43,25,44,77,orange
170,87,44,24,95,orange
213,49,42,31,90,orange
211,52,52,24,64,orange
195,51,39,42,94,orange
189,80,28,48,82,orange
175,32,40,29,70,orange
161,66,45,26,95,orange
210,50,28,32,95,orange
182,71,48,48,92,orange
165,80,29,48,85,orange
182,88,32,38,64,orange
167,49,52,27,66,orange
205,88,26,44,65,orange
166,72,37,23,96,orange
166,65,26,45,98,orange
183,75,53,49,97,orange
166,73,27,29,90,orange
160,36,38,20,98,orange
162,24,47,21,95,orange
175,64,42,36,82,orange
